scenario,plant,work_center,tool_no_if_available,bottleneck_severity,top_driver_project_count,suggested_capacity_lever,explanation_note
all_in,NW02,P01_NW02_LATHE_1,T-70565-B,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_LATHE_1 peaks at 30682% utilisation, 1084965.3 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_ASSY_1,T-70479-A,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_ASSY_1 peaks at 30661% utilisation, 1133968.4 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_4,T-70017-B,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_4 peaks at 30562% utilisation, 1767440.4 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_PRESS_2,T-70194-A,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_PRESS_2 peaks at 30342% utilisation, 1190784.7 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW14,P01_NW14_PRESS_1,T-70618-B,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW14_PRESS_1 peaks at 30333% utilisation, 1125579.3 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_PRESS_1,T-70024-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_PRESS_1 peaks at 29999% utilisation, 1137134.4 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_PRESS_3,T-70457-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_PRESS_3 peaks at 29011% utilisation, 1125728.2 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_ASSY_1,T-70112-B,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_ASSY_1 peaks at 28833% utilisation, 1615171.4 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_PRESS_1,T-70286-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_PRESS_1 peaks at 28497% utilisation, 1603308.7 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_ASSY_1,T-70039-B,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_ASSY_1 peaks at 28317% utilisation, 1548992.0 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_EXTRUSION_1,T-70378-D,critical,6,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_EXTRUSION_1 peaks at 28172% utilisation, 998538.5 overload hours total, driven by 6 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_PRESS_2,T-70481-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_PRESS_2 peaks at 28152% utilisation, 1577024.4 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_PRESS_1,T-70091-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_PRESS_1 peaks at 28114% utilisation, 1554719.1 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW12,P01_NW12_ASSY_1,T-70178-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW12_ASSY_1 peaks at 27845% utilisation, 858259.0 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_PRES_7_1,T-70607-A,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_PRES_7_1 peaks at 27701% utilisation, 1688983.0 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_GRINDING_1,T-70306-C,critical,8,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_GRINDING_1 peaks at 27653% utilisation, 1435568.4 overload hours total, driven by 8 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_PRESS_2,T-70230-A,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_PRESS_2 peaks at 26961% utilisation, 1377005.1 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_OVEN_1,T-70356-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_OVEN_1 peaks at 26709% utilisation, 1562298.4 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_PRESS_3,T-70320-C,critical,8,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_PRESS_3 peaks at 26706% utilisation, 1477084.0 overload hours total, driven by 8 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_PRESS_3,T-70367-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_PRESS_3 peaks at 26703% utilisation, 1580716.7 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_EXTRUSION_1,T-70291-A,critical,6,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_EXTRUSION_1 peaks at 25700% utilisation, 1358847.6 overload hours total, driven by 6 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_PRESS_1,T-70178-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_PRESS_1 peaks at 25095% utilisation, 841035.9 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW14,P01_NW14_PRESS_3,T-70307-D,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW14_PRESS_3 peaks at 24983% utilisation, 932280.0 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_3,T-70152-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_3 peaks at 24471% utilisation, 1397249.3 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW11,P01_NW11_GRINDING_1,T-70310-C,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW11_GRINDING_1 peaks at 24053% utilisation, 1323105.7 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_GRINDING_1,T-70492-B,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_GRINDING_1 peaks at 24021% utilisation, 1385897.6 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW12,P01_NW12_GRINDING_1,T-70351-D,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW12_GRINDING_1 peaks at 23883% utilisation, 739015.2 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_EXTRUSION_1,T-70597-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_EXTRUSION_1 peaks at 23845% utilisation, 1290575.4 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_EXTRUSION_1,T-70644-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_EXTRUSION_1 peaks at 23323% utilisation, 1350491.4 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_1,T-70056-B,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_1 peaks at 23153% utilisation, 862458.4 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_GRINDING_1,T-70389-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_GRINDING_1 peaks at 23072% utilisation, 845193.1 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_GRINDING_1,T-70129-A,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_GRINDING_1 peaks at 22642% utilisation, 718326.6 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_EXTRUSION_1,T-70644-D,critical,8,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_EXTRUSION_1 peaks at 22366% utilisation, 814256.4 overload hours total, driven by 8 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_4,T-70428-C,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_4 peaks at 21619% utilisation, 801468.5 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_PRES_4,T-70547-D,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_PRES_4 peaks at 21447% utilisation, 1321683.3 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW14,P01_NW14_PRESS_2,T-70099-A,critical,6,no_lever_available,"CRITICAL — fully overloaded: P01_NW14_PRESS_2 peaks at 21333% utilisation, 790382.3 overload hours total, driven by 6 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_PRESS_3,T-70098-A,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_PRESS_3 peaks at 21293% utilisation, 725608.6 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_PRESS_1,T-70487-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_PRESS_1 peaks at 21245% utilisation, 765011.2 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_OVEN_1,T-70325-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_OVEN_1 peaks at 21196% utilisation, 1177636.8 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_GRINDING_1,T-70526-C,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_GRINDING_1 peaks at 21120% utilisation, 728012.6 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW12,P01_NW12_PRESS_2,T-70574-A,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW12_PRESS_2 peaks at 20950% utilisation, 680552.7 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_GRINDING_1,T-70516-A,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_GRINDING_1 peaks at 20500% utilisation, 1017571.6 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_EXTRUSION_1,T-70284-B,critical,8,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_EXTRUSION_1 peaks at 19652% utilisation, 701846.1 overload hours total, driven by 8 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW13,P01_NW13_OVEN_1,T-70607-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW13_OVEN_1 peaks at 19520% utilisation, 624073.9 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_PRESS_2,T-70608-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_PRESS_2 peaks at 19465% utilisation, 695048.4 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW14,P01_NW14_ASSY_1,T-70049-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW14_ASSY_1 peaks at 19430% utilisation, 672618.6 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_PRESS_1,T-70326-A,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_PRESS_1 peaks at 18660% utilisation, 1097052.2 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_PRESS_4,T-70414-C,critical,0,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_PRESS_4 peaks at 18359% utilisation, 710223.1 overload hours total, driven by 0 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_6,T-70656-C,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_6 peaks at 18267% utilisation, 2164427.5 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_PRESS_2,T-70047-C,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_PRESS_2 peaks at 17944% utilisation, 1007191.6 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW12,P01_NW12_PRESS_3,T-70590-A,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW12_PRESS_3 peaks at 17805% utilisation, 585226.8 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_OVEN_1,T-70004-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_OVEN_1 peaks at 17628% utilisation, 641881.3 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_PRESS_3,T-70264-B,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_PRESS_3 peaks at 17480% utilisation, 632088.9 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_PRESS_2,T-70058-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_PRESS_2 peaks at 17325% utilisation, 1026338.7 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_3,T-70295-D,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_3 peaks at 17169% utilisation, 627083.4 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW10,P01_NW10_PRESS_3,T-70644-D,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW10_PRESS_3 peaks at 16005% utilisation, 810118.7 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_PRESS_3,T-70378-D,critical,1,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_PRESS_3 peaks at 15899% utilisation, 600895.6 overload hours total, driven by 1 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_EXTRUSION_1,T-70079-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_EXTRUSION_1 peaks at 15876% utilisation, 890988.5 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW06,P01_NW06_PRESS_4,T-70456-A,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW06_PRESS_4 peaks at 15306% utilisation, 1744579.5 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_6,T-70689-C,critical,6,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_6 peaks at 14424% utilisation, 1662669.3 overload hours total, driven by 6 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW08,P01_NW08_PRESS_4,T-70172-B,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW08_PRESS_4 peaks at 14333% utilisation, 1656193.2 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW11,P01_NW11_PRESS_3,T-70559-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW11_PRESS_3 peaks at 14240% utilisation, 832719.1 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_PRESS_4,T-70443-B,critical,8,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_PRESS_4 peaks at 13977% utilisation, 1466239.7 overload hours total, driven by 8 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW15,P01_NW15_PRESS_5,T-70470-C,critical,4,no_lever_available,"CRITICAL — fully overloaded: P01_NW15_PRESS_5 peaks at 13344% utilisation, 1398274.5 overload hours total, driven by 4 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW01,P01_NW01_PRESS_5,T-70280-B,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW01_PRESS_5 peaks at 12578% utilisation, 1442194.4 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_PRESS_4,T-70111-D,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_PRESS_4 peaks at 12574% utilisation, 1335265.8 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW05,P01_NW05_PRESS_5,T-70020-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW05_PRESS_5 peaks at 12240% utilisation, 1492584.0 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW09,P01_NW09_PRESS_4,T-70202-C,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW09_PRESS_4 peaks at 12018% utilisation, 1351773.0 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW02,P01_NW02_PRESS_5,T-70059-B,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW02_PRESS_5 peaks at 11674% utilisation, 1371500.7 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW07,P01_NW07_PRESS_4,T-70489-C,critical,3,no_lever_available,"CRITICAL — fully overloaded: P01_NW07_PRESS_4 peaks at 11485% utilisation, 1377539.4 overload hours total, driven by 3 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW04,P01_NW04_PRESS_5,T-70585-D,critical,2,no_lever_available,"CRITICAL — fully overloaded: P01_NW04_PRESS_5 peaks at 11425% utilisation, 1215818.1 overload hours total, driven by 2 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
all_in,NW03,P01_NW03_PRES_8_1,T-70564-A,critical,5,no_lever_available,"CRITICAL — fully overloaded: P01_NW03_PRES_8_1 peaks at 11397% utilisation, 1232357.1 overload hours total, driven by 5 pipeline project(s). No upside shift lever available — consider rerouting or rescheduling."
