policy_id,plant,work_center,tool_no_if_available,maintenance_trigger_type,estimated_interval_weeks_synth,expected_downtime_hours_synth,policy_generation_rule,generation_version,random_seed
MAINT_NW02_P01_NW02_EXTRUSION_1_SCH,NW02,P01_NW02_EXTRUSION_1,T-70378-D,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_GRINDING_1_REG,NW02,P01_NW02_GRINDING_1,T-70526-C,regulatory_inspection,13,2.0,"Regulatory inspection: quarterly (every 13 weeks), 2h downtime. Based on typical EU/OSHA inspection frequency. Synthetic.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_LATHE_1_SCH,NW02,P01_NW02_LATHE_1,T-70565-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_1_SCH,NW02,P01_NW02_PRESS_1,T-70056-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_2_SCH,NW02,P01_NW02_PRESS_2,T-70268-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_3_SCH,NW02,P01_NW02_PRESS_3,T-70295-D,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_4_SCH,NW02,P01_NW02_PRESS_4,T-70428-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_5_SCH,NW02,P01_NW02_PRESS_5,T-70059-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW02_P01_NW02_PRESS_6_SCH,NW02,P01_NW02_PRESS_6,T-70656-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_ASSY_1_COR,NW05,P01_NW05_ASSY_1,T-70479-A,corrective_unscheduled,4,8.0,"Corrective unscheduled: expected recurrence every 4 weeks, 8h downtime. Represents mean-time-between-failure analogue. Fully synthetic.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_EXTRUSION_1_SCH,NW05,P01_NW05_EXTRUSION_1,T-70644-D,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_GRINDING_1_REG,NW05,P01_NW05_GRINDING_1,T-70389-A,regulatory_inspection,13,2.0,"Regulatory inspection: quarterly (every 13 weeks), 2h downtime. Based on typical EU/OSHA inspection frequency. Synthetic.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_OVEN_1_SCH,NW05,P01_NW05_OVEN_1,T-70004-D,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_1_SCH,NW05,P01_NW05_PRESS_1,T-70069-B,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_2_SCH,NW05,P01_NW05_PRESS_2,T-70194-A,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_3_SCH,NW05,P01_NW05_PRESS_3,T-70457-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_4_SCH,NW05,P01_NW05_PRESS_4,T-70414-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_5_SCH,NW05,P01_NW05_PRESS_5,T-70020-C,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
MAINT_NW05_P01_NW05_PRESS_6_SCH,NW05,P01_NW05_PRESS_6,T-70573-A,scheduled_preventive,8,4.0,"Scheduled preventive: every 8 weeks, 4h downtime per event. Interval and duration are synthetic expert estimates.",wave6_maintenance_v1,42
